UGREEN Annual Offer,,
1,Ugreen USB 2.0 AM to BM 1m Black,200
2,Ugreen USB to 3.5mm Headphone Audio Adapter,30
3,"Ugreen 6.35 to 3.5, 6.35mm  Audio Stereo Cable 1m HiFi Male to Male(Gold Plated)",30
4,Ugreen 2RCA to 3.5mm Cable Phono Mini Jack Stereo Lead Gold Plated Red and White,200
5,Ugreen Micro HDMI - HDMI Cable  4K 3D 2m (black) 30103(Gold Plated),50
6,"Ugreen HDMI Cable, 4K 60Hz HDMI 2.0 Cable 3m  (Gold Plated)",200
7,Ugreen HDMI to HDMI Cable 4K 5m Black 50821 (Gold Plated),200
8,Ugreen Cable HDMI male - HDMI male 8m 60hz  (Gold Plated),30
9,Ugreen Cable DisplayPort male - HDMI male 3m (10203) Black (Gold Plated),200
10,Ugreen DisplayPort to HDMI Cable 5m (10204) Black (Gold Plated),200
11,Ugreen Cable DisplayPort male - DisplayPort male 5m (10213) (Gold Plated),200
12,Ugreen DisplayPort to DisplayPort Cable Male to Male 4K 60Hz 10m(Gold Plated),30
13,Ugreen DisplayPort to DisplayPort Cable Male to Male 4K/60Hz 1m (10244) Black  (Gold Plated),100
14,"Ugreen HDMI Cable, 4K 60Hz HDMI 2.0 Cable 1m  (Gold Plated)",100
15,Ugreen Cat 6 U/UTP Lan Cable 0.5m - Black 1Gbps,300
16,Ugreen Cat 6 U/UTP Lan Cable 1m - Black 1Gbps,300
17,"Ugreen  Ethernet Extender 10Gbps, Ethernet Coupler for  Cat6  Cable, Long Distance Extend, Aluminum Alloy Shell, Space Grey",200
